City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,walvis bay,-22.9575,14.5053,72.43,68,100,13.38,NA,2025-03-09 12:45:41
197,orosei,40.3798,9.6929,59.02,91,100,10.47,IT,2025-03-09 12:45:42
198,myingyan,21.4667,95.3833,85.48,16,0,2.64,MM,2025-03-09 12:45:43
199,paramaribo,5.8667,-55.1667,80.51,83,40,5.75,SR,2025-03-09 12:45:44
200,mendi,-6.1761,143.6513,58.19,99,100,1.16,PG,2025-03-09 12:45:45
201,rikaze,29.25,88.8833,47.84,12,99,1.32,CN,2025-03-09 12:45:46
202,egilsstadir,65.2653,-14.3948,31.91,64,0,8.05,IS,2025-03-09 12:45:48
203,happy valley-goose bay,53.3168,-60.3315,17.91,79,75,10.36,CA,2025-03-09 12:45:49
204,arsikere,13.3139,76.2561,86.14,16,10,8.46,IN,2025-03-09 12:45:50
205,bazarnyy karabulak,52.2683,46.4144,35.73,93,18,13.24,RU,2025-03-09 12:45:51
206,monrovia,6.3005,-10.7969,83.7,71,82,11.3,LR,2025-03-09 12:45:52
207,fukuecho,32.6881,128.8419,50.88,61,74,15.21,JP,2025-03-09 12:45:53
208,zapala,-38.8992,-70.0544,55.29,28,3,7.34,AR,2025-03-09 12:45:54
209,altay,47.8667,88.1167,28.94,91,100,5.08,CN,2025-03-09 12:45:55
210,nantucket,41.2835,-70.0995,34.14,51,0,12.66,US,2025-03-09 12:42:53
211,hirara,24.8,125.2833,67.86,88,20,12.66,JP,2025-03-09 12:45:57
212,nieuw amsterdam,5.8833,-55.0833,80.62,83,40,5.75,SR,2025-03-09 12:45:59
213,richards bay,-28.783,32.0377,94.6,40,5,11.18,ZA,2025-03-09 12:41:07
214,riberalta,-10.9833,-66.1,77.2,88,75,0.0,BO,2025-03-09 12:46:02
215,tejen,37.3834,60.5054,57.87,47,100,7.63,TM,2025-03-09 12:46:03
216,chibougamau,49.9168,-74.3659,-2.58,78,75,2.3,CA,2025-03-09 12:43:04
217,nagqu,31.5,92.0,24.03,18,1,6.2,CN,2025-03-09 12:46:05
218,ust'-kulom,61.6864,53.6902,22.78,94,100,9.04,RU,2025-03-09 12:46:06
219,tianpeng,30.9866,103.9393,51.06,71,98,1.01,CN,2025-03-09 12:46:08
220,mpongwe,-13.5091,28.155,76.59,69,100,3.33,ZM,2025-03-09 12:46:09
221,rafraf,37.1904,10.1837,66.31,64,90,21.23,TN,2025-03-09 12:46:10
222,muynoq,43.7683,59.0214,39.36,63,35,10.83,UZ,2025-03-09 12:46:11
223,petrozavodsk,61.7849,34.3469,33.26,64,100,11.18,RU,2025-03-09 12:46:12
224,codrington,-38.2667,141.9667,68.25,78,0,8.88,AU,2025-03-09 12:46:13
225,puerto santa,-8.9906,-78.6456,72.57,83,100,6.38,PE,2025-03-09 12:46:15
226,rongelap,11.1635,166.8941,80.2,81,26,23.71,MH,2025-03-09 12:46:17
227,mount gambier,-37.8333,140.7667,70.45,63,0,8.46,AU,2025-03-09 12:46:19
228,alice springs,-23.7,133.8833,90.95,13,77,5.75,AU,2025-03-09 12:46:20
229,hammond,41.5834,-87.5,31.48,65,0,4.61,US,2025-03-09 12:46:21
230,lagos,6.5833,3.75,90.43,59,100,8.59,NG,2025-03-09 12:45:02
231,hotan,37.0997,79.9269,55.9,18,100,11.54,CN,2025-03-09 12:46:23
232,bubaque,11.2833,-15.8333,78.57,48,86,5.48,GW,2025-03-09 12:46:25
233,mount isa,-20.7333,139.5,82.17,69,55,0.0,AU,2025-03-09 12:46:26
234,itoman,26.1247,127.6694,68.09,83,75,8.05,JP,2025-03-09 12:46:27
235,ilanskiy,56.2358,96.065,12.43,94,81,4.92,RU,2025-03-09 12:46:28
236,nova vicosa,-17.8919,-39.3719,81.37,71,34,0.63,BR,2025-03-09 12:46:29
237,pangody,65.85,74.4859,-13.95,89,6,7.99,RU,2025-03-09 12:46:30
238,conceicao da barra,-18.5933,-39.7322,85.73,55,21,4.99,BR,2025-03-09 12:46:31
239,ushuaia,-54.8,-68.3,47.86,61,40,19.57,AR,2025-03-09 12:42:06
240,crane,31.3974,-102.3501,41.27,63,9,12.55,US,2025-03-09 12:46:34
241,tamanrasset,22.785,5.5228,84.11,15,40,17.27,DZ,2025-03-09 12:46:35
242,palikir - national government center,6.9248,158.1611,81.93,74,40,10.36,FM,2025-03-09 12:46:36
243,kavaratti,10.5669,72.642,82.31,70,9,6.17,IN,2025-03-09 12:46:38
244,yangambi,0.8102,24.4336,95.0,34,100,3.96,CD,2025-03-09 12:46:39
245,weno,7.4515,151.8468,84.15,79,40,9.22,FM,2025-03-09 12:46:40
246,maxixe,-23.8597,35.3472,89.42,66,40,13.8,MZ,2025-03-09 12:46:41
247,saipan,15.1355,145.701,81.3,83,0,10.36,MP,2025-03-09 12:46:42
248,hjo,58.3013,14.2878,55.02,71,19,5.91,SE,2025-03-09 12:46:44
249,fortaleza,-3.7227,-38.5247,86.13,66,20,16.11,BR,2025-03-09 12:42:53
250,wanxian,30.8039,108.3897,52.63,86,100,1.21,CN,2025-03-09 12:46:46
251,tazacorte,28.629,-17.9293,67.17,79,40,11.01,ES,2025-03-09 12:46:47
252,dunedin,-45.8742,170.5036,53.8,84,41,1.99,NZ,2025-03-09 12:46:49
253,holualoa,19.6228,-155.9522,67.84,75,0,1.01,US,2025-03-09 12:42:53
254,necochea,-38.5473,-58.7368,62.55,56,36,12.5,AR,2025-03-09 12:45:02
255,los palacios y villafranca,37.1618,-5.9243,54.14,82,83,17.27,ES,2025-03-09 12:46:53
256,rumonge,-3.9736,29.4386,80.69,67,76,5.32,BI,2025-03-09 12:46:55
257,fortuna,40.5982,-124.1573,38.32,100,0,8.05,US,2025-03-09 12:46:57
258,consuegra,39.4625,-3.608,49.8,59,69,17.09,ES,2025-03-09 12:46:58
259,imbituba,-28.24,-48.6703,81.14,64,2,12.73,BR,2025-03-09 12:46:59
260,kapenguria,1.2511,35.0895,65.71,70,100,5.08,KE,2025-03-09 12:47:00
261,rochester,43.1548,-77.6156,33.44,75,75,6.91,US,2025-03-09 12:45:48
262,yerevan,40.1811,44.5136,60.96,20,0,4.61,AM,2025-03-09 12:38:23
263,saint-philippe,-21.3585,55.7679,81.1,81,36,9.55,RE,2025-03-09 12:47:04
264,anadyr,64.75,177.4833,1.9,71,0,4.47,RU,2025-03-09 12:47:06
265,trenggalek,-8.05,111.7167,75.78,96,100,3.02,ID,2025-03-09 12:47:07
266,babolsar,36.7025,52.6576,52.81,73,83,7.52,IR,2025-03-09 12:47:08
267,as sulayyil,20.4607,45.5779,88.36,25,5,12.28,SA,2025-03-09 12:47:09
268,mandera,3.9366,41.867,98.91,28,100,3.2,KE,2025-03-09 12:47:10
269,hinton,53.4001,-117.5857,30.51,98,100,1.66,CA,2025-03-09 12:47:11
270,buka,40.8108,69.1986,56.3,54,100,7.65,UZ,2025-03-09 12:47:13
271,jamestown,42.097,-79.2353,30.56,84,40,6.91,US,2025-03-09 12:47:10
272,kirakira,-10.4544,161.9205,78.94,83,54,1.63,SB,2025-03-09 12:47:16
273,arcos,-20.2819,-45.5394,79.18,40,0,3.91,BR,2025-03-09 12:47:18
